i271ta-fg, 0, 0
i037qb-fn, 1, 0
i267vb-mn, 0, 0
i240va-mn, 0, 0
i424xb-fn, 0, 0
i209va-fn, 0, 0
i083qe-mn, 0, 1
i620zb-fn, 0, 0
i221uc-fg, 0, 0
i201ve-m1, 0, 0
i210vc-fn, 0, 0
i244vb-mn, 0, 0
i431we-fn, 0, 0
i259tb-mn, 0, 0
i032qc-fn, 0, 0
i254tb-mn, 0, 0
i276va-mn, 0, 0
i283vb-fn, 0, 0
i435xe-fn, 0, 0
i007qc-fn, 0, 0
i290ta-mn, 1, 0
i298td-fn, 0, 0
i424we-fn, 0, 0
i073qe-mg, 0, 0
i073qb-mg, 1, 0
i291tc-fg, 0, 0
i007sa-fn, 1, 0
i249vb-fn, 0, 0
i244ue-mn, 0, 0
i213uc-fn, 0, 0
i008rc-mn, 0, 0
i267ua-mn, 0, 0
i216tb-fn, 0, 0
i432xb-fn, 0, 0
i411xb-fn, 1, 0
i249tb-fn, 0, 0
i303ve-fg, 0, 0
i277vb-mg, 0, 0
i289tb-mg, 0, 0
i268vd-mn, 0, 0
i413xa-fn, 1, 0
i223ue-mn, 0, 0
i622ya-mn, 0, 0
i306tb-fg, 0, 0
i012se-mn, 0, 0
i272vb-fg, 0, 0
i211te-fn, 1, 0
i232vd-mn, 0, 0
i432we-fn, 0, 0
i612yb-fn, 0, 0
i613ze-fg, 0, 0
i011sc-mn, 0, 0
i280vb-mn, 0, 0
i060re-mn, 0, 0
i019sc-fn, 0, 0
i088sb-fn, 0, 0
i264tc-mn, 0, 0
i269vd-mn, 1, 0
i201te-mg, 1, 0
i231ud-mn, 0, 0
i622zb-mn, 0, 0
i422xd-fn, 1, 0
i430wd-fn, 0, 0
i429xe-fn, 0, 0
i290vb-mn, 0, 0
i214vb-fn, 0, 0
i287te-mn, 0, 0
i276vc-mn, 0, 0
i443xb-mn, 0, 0
i437wb-fn, 0, 0
i014rb-fn, 0, 0
i278td-mn, 1, 0
i294ue-mg, 0, 0
i234ua-mg, 0, 0
i041qd-mn, 0, 0
i423wd-mn, 0, 0
i219vc-mn, 0, 0
i618ya-fg, 0, 0
i439wc-mn, 0, 0
i003qd-fn, 1, 0
i620ye-fn, 0, 0
